,OfferDetails,FaceValue,Product
0,"Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Gain Fireworks', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Downy Libre Enjuague']"
1,"Save $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"['Tide Simply', 'Tide Simply PODS', 'Tide', 'Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent', 'PODS']"
2,"Save $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"['Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide', 'Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Detergent']"
3,SAVE $1.00 ON TWO when you buy TWO BOXES (8.9 - 15.2 OZ. EXCLUDES LARGE SIZE) any flavor/variety General Mills cereal listed: *,$1.00,['General Mills']
4,"$3.00 OFF when you purchase any THREE (3) Pepperidge Farm® Farmhouse buns, bread, or cookies",$3.00,['Pepperidge Farm® Farmhouse']
5,"SAVE $1.11 when you buy any ONE (1) Familly Size OREO, CHIPS AHOY! or NUTTER BUTTER Cookies (12.1 - 20 oz.)",$1.11,"['OREO', 'CHIPS AHOY', 'NUTTER', 'BUTTER Cookies']"
6,"SAVE $1.00 ON TWO when you buy TWO PACKAGES any flavor 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, *",$1.00,"['Biscuits', 'PACKAGES', 'COUNT', 'LARGER Nature Valley™ Granola Bars']"
7,Save $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,['Sargento® Natural Cheese']
8,$0.65 OFF On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),$0.65,"['Oikos Greek Yogurt Cup', 'Oikos Triple Zero']"
9,"$2.00 OFF ONE (1) SMALL bag of Eight O'Clock® Coffee, Any variety 10 oz. - 12 oz. (excluding Barista Blends)",$2.00,"['Barista Blends', ""O'Clock® Coffee""]"
10,"Save $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"['Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Downy Libre Enjuague', 'Gain Fireworks', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Bounce/Downy Wrinkle Guard Sheets']"
11,"SAVE $1.00 ON TWO when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, *",$1.00,"['Betty', 'Fruit', 'Crocker™ Fruit Shapes', 'Foot™']"
12,$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"['Frigo® Cheese Heads®', 'Snack Cheese Product']"
13,Save $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"['Picante Sauce', 'Pace® Salsa']"
14,$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,[]
15,Save $1.00 on any ONE (1) Gardein™ Frozen Item,$1.00,['Gardein™ Frozen Item']
16,"Save $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"['Gain Botanicals', 'Gain Essential Oils', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks', 'Gain', 'Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Powder Laundry Detergent', 'Flings']"
17,Save $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,['Energizer® Batteries']
18,"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"['Chews', 'Purina® Beggin®', 'Busy®', 'DentaLife® Dog Treats']"
19,"Save $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,['Pine-Sol®']
20,SAVE $1.00 ON ONE when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,$1.00,"['Cascadian', 'Granola', 'PACKAGE', 'Farm™ Cereal']"
21,SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"['Snacks', 'Crunchmaster® Crackers']"
22,Save $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,"['Dreft Newborn Laundry Detergent', 'Dreft Active Baby Laundry Detergent', 'Dreft Pure Gentleness Laundry Detergent']"
23,$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,"['Baby Organics', 'Happy Tot Organics']"
24,Save $1.00 on any ONE (1) Udi's® Frozen Item,$1.00,"[""Udi's® Frozen Item""]"
25,"Save $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Downy Libre Enjuague', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Bounce Rapid Touch-up', 'Downy Wrinkle Releaser Spray']"
26,"Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"['Gain Botanicals', 'Wash Scent', 'Gain Flings', 'Gain Detergent', 'Gain Liquid Fabric Softener', 'Gain Fireworks', 'Boosters', 'Gain Dryer Sheets']"
27,"$1.00 OFF on any ONE (1) Tillamook® Ice Cream Product, 56 oz.",$1.00,['Tillamook® Ice Cream Product']
28,"Save $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,['BENADRYL®']
29,"Save $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"['Floss Picks', 'Interdental Brush', 'Oral-B Glide Manual Floss', 'Interdental Picks']"
30,"$1.00 OFF TWO (2) Atkins® Bars, Shakes or Treats",$1.00,"['Shakes', 'Atkins® Bars']"
31,Save $1.00 ONE Prilosec OTC Product.,$1.00,['Prilosec OTC Product']
32,"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"['Chocolate Candy', 'Chocolate Bar', 'Baking Chips']"
33,"Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"['Tide PODS', 'Tide Simply PODS', 'Tide Simply Laundry Detergent', 'ERA Laundry Detergent', 'Tide Detergent']"
34,Save $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"['Venus', 'Daisy Disposable', 'Daisy']"
35,"Save $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"['Radiant', 'Tampax Pearl', 'PURE Tampons']"
36,"Save $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"['ZYRTEC®', 'Excludes']"
37,"Save $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"['Infinity', 'PURE', 'Pure Cotton', 'Ultra', 'Maxi', 'Always Liners', 'Always Discreet', 'Always Radiant', 'Pads']"
38,"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"['Excludes Club Packs', 'Twin Packs', '® Product']"
39,"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"['Twin', 'Large Automatic Refills', 'Glade®', 'Candles', 'Pack', 'Candles', 'PIugIn® Scented Oil Refill Pack', 'Excludes', 'Count', 'Candles', 'PlugIns® Scented Oil Warmer']"
40,$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,['SHEBA® PERFECT PORTIONS™ Premium Cat Food']
41,"Save $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"['Gum', 'Enamel Repair', 'Gum', 'Crest Gum Detoxify', 'Sensitivity']"
42,"Get $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"['Get', 'Bag', 'PULL-UPS® Training Pants']"
43,"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"['Children', 'Allegra® Allergy', 'Allegra-D®', 'Allegra®']"
44,"Save $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"['Gain', 'Gain Fabric Enhancers', 'Gain Fireworks', 'Gain', 'Gain Flings', 'Gain Ultra Flings', 'Liquid/Powder Laundry Detergent', 'Flings']"
45,"Save $2.00 ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"['Tide Laundry Detergent', 'Tide Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide', 'Tide Purclean Laundry Detergent', 'Detergent']"
46,"$2.00 OFF ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins, Coffee with Golden Turmeric, or Coffee with 2X Caffeine Product",$2.00,"['Essential Vitamins', 'Coffee', 'Golden Turmeric', 'Coffee', 'Starbucks® K-Cup® Coffee', 'Caffeine']"
47,"Save $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,['Claritin®']
48,Save $2.00 ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,$2.00,"['Wash Scent', 'Dreft Blissfuls', 'Boosters']"
49,Save $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,['Nexium®']
50,Save $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"['Aleve®', 'Aleve®PM', 'Aleve-D®']"
51,"Save $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,"['Always Products', 'Always Discreet Boutique', 'Always DISCREET Incontinence Product']"
52,$1.50 Off any ONE (1) Mighty Spark All-Natural Poultry Patties or Ground Chicken,$1.50,"['Mighty Spark', 'Ground Chicken', 'Off', 'All-Natural Poultry']"
53,Save $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,['HUGGIES® LITTLE SWIMMERS® Disposable Swimpants']
54,"Save $2.00 ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).",$2.00,"['Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS', 'Tide Antibacterial Spray', 'Tide Stain Pen']"
55,"Save $3.00 on any ONE (1) package of POISE® Ultra Thin Pads or Active Collection® Pads or Liners (Reg Pack only) (Not valid on other Poise® Pads, Liners or Impressa® Products)",$3.00,"['Active', 'Liners', 'Liners', 'POISE® Ultra Thin Pads', 'Collection® Pads', 'Reg Pack', 'Poise® Pads', 'Impressa®']"
56,Get $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"['Get', 'Box', 'PULL-UPS® Training Pants']"
57,Save $2.00 ONE Venus Razor (excludes disposables).,$2.00,['Venus Razor']
58,"Save $1.00 ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)",$1.00,"['Tide Simply Detergent', 'Tide PODS', 'Tide Simply PODS', 'Tide']"
59,Save $8.00 on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,$8.00,['Claritin® Tabs']
60,SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,['Colgate® Optic White® Renewal Toothpaste']
61,SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread,$0.75,"['Sabra® Dark Chocolate Dessert Dip', 'Spread']"
62,$1.50 OFF on ONE (1) pint of N!ck's Ice Cream,$1.50,"['N', 'Ice Cream']"
63,Save $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"['Children', 'Claritin® Syrup']"
64,SAVE 55¢ on any ONE (1) Raid® Essential Oils Product&nbsp;(Excludes Raid® Club Packs and Twin Packs),55¢,"['Excludes', 'Twin Packs', 'Raid® Essential Oils Product', 'Raid® Club Packs']"
65,$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,['Osteo Bi-Flex®']
66,Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).,$3.00,"['Always Products', 'Always DISCREET Boutique Product']"
67,SAVE $0.75 on ONE (1) Sabra® Veggie Dip,$0.75,['Sabra® Veggie Dip']
68,SAVE $3.00 on any ONE (1) Florastor product,$3.00,['Florastor']
69,$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"['Reser', 'Deli Sides']"
70,"Save $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,['NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food']
71,Save $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"['Oral-B Vitality', 'Pro', 'Rechargeable Electric Toothbrush']"
72,"Save $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"['Serums', 'Complete', 'Active Hydrating', 'Olay Facial Moisturizer']"
73,Save $1.00 ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,$1.00,['Burts Bees Adult Toothpaste']
74,Save $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,['Venus Blade Refill']
75,"Save $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"['Body Wash', 'High Endurance', 'Body Spray', 'Invisible Spray', 'Old Spice Anti-Perspirant/Deodorant', 'Bar Soap']"
76,Save $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,['Olay Facial Cleanser']
77,Save $0.75 ONE Burts Bees Kids Toothpaste (excludes trial/travel size).,$0.75,['Burts Bees Kids Toothpaste']
78,Save $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,['Gillette Blade Refill']
79,Save $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"['Venus Products', 'Gillette Disposable', 'Sensor']"
80,"Save $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"['Venus Products', 'Gillette Razor', 'Disposables']"
81,"$5 1 Hot Bar Entree, 2 Sides, 1 Roll",$5,"['Hot Bar Entree', 'Sides']"
82,SAVE $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,['Sargento® Natural Cheese']
83,SAVE $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"['Picante Sauce', 'Pace® Salsa']"
84,FREE SEG MAC & CHEESE when you buy any two (2) SPAM® 12oz products and get TWO (2) FREE SEG MAC &amp; CHEESE (Max. Value $1.50),$1.50,"['SEG', 'CHEESE', 'CHEESE', 'MAC', 'SPAM®', 'SEG MAC']"
85,"SAVE $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"['Gain Botanicals', 'Gain Essential Oils', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks', 'Gain', 'Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Powder Laundry Detergent', 'Flings']"
86,"SAVE $1.00 ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"['Crest Cavity', 'Regular', 'Base Baking Soda', 'Tartar', 'Gum Detoxify', 'Gum Enamel', 'Kids', 'Crest Toothpaste', 'Control/Protection', 'W Pep Gleem', 'Therapy']"
87,"SAVE $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"['Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide', 'Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Detergent']"
88,$2.00 OFF any TWO (2) Starbucks® Nitro Cold Brew (9.6 oz can) or Starbucks® Frappucino (13.7 oz bottle) - mix and match,$2.00,"['Starbucks® Nitro Cold Brew', 'Starbucks® Frappucino']"
89,"SAVE $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Downy Libre Enjuague', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Bounce Rapid Touch-up', 'Downy Wrinkle Releaser Spray']"
90,"SAVE $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"['Infinity', 'PURE', 'Pure Cotton', 'Ultra', 'Maxi', 'Always Liners', 'Always Discreet', 'Always Radiant', 'Pads']"
91,"SAVE $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"['Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Downy Libre Enjuague', 'Gain Fireworks', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Bounce/Downy Wrinkle Guard Sheets']"
92,SAVE $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,['Energizer® Batteries']
93,$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"['Frigo® Cheese Heads®', 'Snack Cheese Product']"
94,"SAVE $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"['Body Wash', 'High Endurance', 'Body Spray', 'Invisible Spray', 'Old Spice Anti-Perspirant/Deodorant', 'Bar Soap']"
95,"SAVE $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"['Tide Simply', 'Tide Simply PODS', 'Tide', 'Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent', 'PODS']"
96,"SAVE $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"['Radiant', 'Tampax Pearl', 'PURE Tampons']"
97,"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"['Twin', 'Large Automatic Refills', 'Glade®', 'Candles', 'Pack', 'Candles', 'PIugIn® Scented Oil Refill Pack', 'Excludes', 'Count', 'Candles', 'PlugIns® Scented Oil Warmer']"
98,$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,[]
99,"SAVE $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Gain Fireworks', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Downy Libre Enjuague']"
100,"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"['Chews', 'Purina® Beggin®', 'Busy®', 'DentaLife® Dog Treats']"
101,SAVE $1.00 on any TWO (2) boxes of Life cereal,$1.00,['Life']
102,SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"['Snacks', 'Crunchmaster® Crackers']"
103,$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,"['Baby Organics', 'Happy Tot Organics']"
104,"SAVE $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"['Gain Botanicals', 'Wash Scent', 'Gain Flings', 'Gain Detergent', 'Gain Liquid Fabric Softener', 'Gain Fireworks', 'Boosters', 'Gain Dryer Sheets']"
105,"SAVE $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,['Pine-Sol®']
106,"$0.25 OFF ONE (1) package of Keebler® Caramel Nut Dreams, Coconut Dreams, Strawberry Shortcake, or Hot Fudge Sundae cookies",$0.25,"['Coconut Dreams', 'Strawberry Shortcake', 'Hot Fudge Sundae', 'Keebler® Caramel Nut Dreams']"
107,"SAVE $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"['Floss Picks', 'Interdental Brush', 'Oral-B Glide Manual Floss', 'Interdental Picks']"
108,"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,['BENADRYL®']
109,"GET $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"['Bag', 'PULL-UPS® Training Pants']"
110,$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"['Reser', 'Deli Sides']"
111,SAVE $1.00 on any one (1) El Monterey® Single Serve Meals,$1.00,['El Monterey® Single Serve Meals']
112,"SAVE $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,"['Always Products', 'Always Discreet Boutique', 'Always DISCREET Incontinence Product']"
113,SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"['Venus Products', 'Gillette Disposable', 'Sensor']"
114,"SAVE $0.50 On any ONE (1) GOOD FOODS Guacamole, Plant-based Dip, Dairy Dip, or Salsa",$0.50,"['GOOD', 'Dairy Dip', 'Salsa', 'FOODS Guacamole', 'Dip']"
115,SAVE $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"['Aleve®', 'Aleve®PM', 'Aleve-D®']"
116,"SAVE $1.00 on any ONE (1) Cheez-It® Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor)",$1.00,"['Baked Snack Crackers Caddy Pack', 'Larger', 'Flavor']"
117,"SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"['Tide PODS', 'Tide Simply PODS', 'Tide Simply Laundry Detergent', 'ERA Laundry Detergent', 'Tide Detergent']"
